Theta,Phi,Value
0,0,0.325674
0,0.0785398,0.376862
0,0.15708,0.529649
0,0.235619,0.629722
0,0.314159,0.77514
0,0.392699,0.913023
0,0.471239,0.958107
0,0.549779,0.839034
0,0.628319,0.695795
0,0.706858,0.59964
0,0.785398,0.51252
0,0.863938,0
0,0.942478,0
0,1.02102,0
0,1.09956,0
0,1.1781,0
0,1.25664,0
0,1.33518,0
0,1.41372,0
0,1.49226,0
0,1.5708,0
0,1.64934,0
0,1.72788,0
0,1.80642,0
0,1.88496,0
0,1.9635,0
0,2.04204,0
0,2.12058,0
0,2.19911,0
0,2.27765,0
0,2.35619,0
0,2.43473,0
0,2.51327,0
0,2.59181,0
0,2.67035,0
0,2.74889,0
0,2.82743,0
0,2.90597,0
0,2.98451,0
0,3.06305,0
0,3.14159,0
0.15708,0,0.325674
0.15708,0.0785398,0.476518
0.15708,0.15708,0.576908
0.15708,0.235619,0.626309
0.15708,0.314159,0.754287
0.15708,0.392699,0.870168
0.15708,0.471239,0.854632
0.15708,0.549779,0.791017
0.15708,0.628319,0.681467
0.15708,0.706858,0.569787
0.15708,0.785398,0.478278
0.15708,0.863938,0
0.15708,0.942478,0
0.15708,1.02102,0
0.15708,1.09956,0
0.15708,1.1781,0
0.15708,1.25664,0
0.15708,1.33518,0
0.15708,1.41372,0
0.15708,1.49226,0
0.15708,1.5708,0
0.15708,1.64934,0
0.15708,1.72788,0
0.15708,1.80642,0
0.15708,1.88496,0
0.15708,1.9635,0
0.15708,2.04204,0
0.15708,2.12058,0
0.15708,2.19911,0
0.15708,2.27765,0
0.15708,2.35619,0
0.15708,2.43473,0
0.15708,2.51327,0
0.15708,2.59181,0
0.15708,2.67035,0
0.15708,2.74889,0
0.15708,2.82743,0
0.15708,2.90597,0
0.15708,2.98451,0
0.15708,3.06305,0
0.15708,3.14159,0
0.314159,0,0.374837
0.314159,0.0785398,0.425777
0.314159,0.15708,0.567978
0.314159,0.235619,0.616279
0.314159,0.314159,0.689189
0.314159,0.392699,0.765372
0.314159,0.471239,0.766136
0.314159,0.549779,0.704884
0.314159,0.628319,0.62059
0.314159,0.706858,0.513192
0.314159,0.785398,0.390292
0.314159,0.863938,0.368677
0.314159,0.942478,0
0.314159,1.02102,0
0.314159,1.09956,0
0.314159,1.1781,0
0.314159,1.25664,0
0.314159,1.33518,0
0.314159,1.41372,0
0.314159,1.49226,0
0.314159,1.5708,0
0.314159,1.64934,0
0.314159,1.72788,0
0.314159,1.80642,0
0.314159,1.88496,0
0.314159,1.9635,0
0.314159,2.04204,0
0.314159,2.12058,0
0.314159,2.19911,0
0.314159,2.27765,0
