Theta,Phi,Value
0,0,0
0,0.0785398,0
0,0.15708,0
0,0.235619,0
0,0.314159,0
0,0.392699,0
0,0.471239,0
0,0.549779,0
0,0.628319,0
0,0.706858,0
0,0.785398,0
0,0.863938,0
0,0.942478,0
0,1.02102,0
0,1.09956,0
0,1.1781,0
0,1.25664,0
0,1.33518,0
0,1.41372,0
0,1.49226,0
0,1.5708,0
0,1.64934,0
0,1.72788,0
0,1.80642,0
0,1.88496,0
0,1.9635,0
0,2.04204,0
0,2.12058,0
0,2.19911,0
0,2.27765,0
0,2.35619,0
0,2.43473,0
0,2.51327,0
0,2.59181,0
0,2.67035,0
0,2.74889,0
0,2.82743,0
0,2.90597,0
0,2.98451,0
0,3.06305,0
0,3.14159,0
0.15708,0,0
0.15708,0.0785398,2.14508e-05
0.15708,0.15708,3.70628e-05
0.15708,0.235619,5.11059e-05
0.15708,0.314159,5.0604e-05
0.15708,0.392699,4.39612e-05
0.15708,0.471239,4.51006e-05
0.15708,0.549779,0
0.15708,0.628319,0
0.15708,0.706858,0
0.15708,0.785398,0
0.15708,0.863938,0
0.15708,0.942478,0
0.15708,1.02102,0
0.15708,1.09956,0
0.15708,1.1781,7.84136e-05
0.15708,1.25664,0.000101635
0.15708,1.33518,0.000157163
0.15708,1.41372,0.000200079
0.15708,1.49226,0.00023406
0.15708,1.5708,0.000248063
0.15708,1.64934,0.000234835
0.15708,1.72788,0.000201402
0.15708,1.80642,0.000158717
0.15708,1.88496,0.000102967
0.15708,1.9635,6.95275e-05
0.15708,2.04204,0
0.15708,2.12058,0
0.15708,2.19911,0
0.15708,2.27765,0
0.15708,2.35619,0
0.15708,2.43473,0
0.15708,2.51327,0
0.15708,2.59181,0
0.15708,2.67035,0
0.15708,2.74889,0
0.15708,2.82743,0
0.15708,2.90597,0
0.15708,2.98451,0
0.15708,3.06305,0
0.15708,3.14159,0
0.314159,0,0
0.314159,0.0785398,4.2533e-05
0.314159,0.15708,6.76292e-05
0.314159,0.235619,9.3426e-05
0.314159,0.314159,0.000101248
0.314159,0.392699,8.765e-05
0.314159,0.471239,7.46139e-05
0.314159,0.549779,0
0.314159,0.628319,0
0.314159,0.706858,0
0.314159,0.785398,0
0.314159,0.863938,0
0.314159,0.942478,0
0.314159,1.02102,0
0.314159,1.09956,0
0.314159,1.1781,5.15402e-05
0.314159,1.25664,8.20249e-05
0.314159,1.33518,0.000139683
0.314159,1.41372,0.000190569
0.314159,1.49226,0.000234096
0.314159,1.5708,0.000246628
0.314159,1.64934,0.000235689
0.314159,1.72788,0.000193163
0.314159,1.80642,0.00014253
0.314159,1.88496,8.42454e-05
0.314159,1.9635,3.8613e-05
0.314159,2.04204,0
0.314159,2.12058,0
0.314159,2.19911,0
0.314159,2.27765,0
0.314159,2.35619,0
0.314159,2.43473,0
0.314159,2.51327,0
0.314159,2.59181,0
0.314159,2.67035,0
0.314159,2.74889,0
0.314159,2.82743,0
0.314159,2.90597,0
0.314159,2.98451,0
0.314159,3.06305,0
0.314159,3.14159,0
0.471239,0,0
0.471239,0.0785398,6.0496e-05
0.471239,0.15708,0.000104156
0.471239,0.235619,0.000131445
0.471239,0.314159,0.000113617
0.471239,0.392699,0.000106008
0.471239,0.471239,8.68471e-05
0.471239,0.549779,9.10367e-05
0.471239,0.628319,0
0.471239,0.706858,0
0.471239,0.785398,0
0.471239,0.863938,0
0.471239,0.942478,0
0.471239,1.02102,0
0.471239,1.09956,0
0.471239,1.1781,3.51824e-05
0.471239,1.25664,5.47057e-05
0.471239,1.33518,0.000144105
0.471239,1.41372,0.000206539
0.471239,1.49226,0.000259439
0.471239,1.5708,0.000274857
0.471239,1.64934,0.000262212
0.471239,1.72788,0.000210965
0.471239,1.80642,0.000148738
0.471239,1.88496,5.7046e-05
0.471239,1.9635,1.81704e-05
0.471239,2.04204,0
0.471239,2.12058,0
0.471239,2.19911,0
0.471239,2.27765,0
0.471239,2.35619,0
0.471239,2.43473,0
0.471239,2.51327,0
0.471239,2.59181,0
0.471239,2.67035,0
0.471239,2.74889,0
0.471239,2.82743,0
0.471239,2.90597,0
0.471239,2.98451,0
0.471239,3.06305,0
0.471239,3.14159,0
0.628319,0,0
0.628319,0.0785398,6.31168e-05
0.628319,0.15708,0.000114305
0.628319,0.235619,0.000127245
0.628319,0.314159,0.000147318
0.628319,0.392699,0.00011787
0.628319,0.471239,9.62204e-05
0.628319,0.549779,8.06913e-05
0.628319,0.628319,4.64945e-05
0.628319,0.706858,0
0.628319,0.785398,0
0.628319,0.863938,0
0.628319,0.942478,0
0.628319,1.02102,0
0.628319,1.09956,0
0.628319,1.1781,0
0.628319,1.25664,0
0.628319,1.33518,0
0.628319,1.41372,0
0.628319,1.49226,0
0.628319,1.5708,0
0.628319,1.64934,0
0.628319,1.72788,0
0.628319,1.80642,0
0.628319,1.88496,0
0.628319,1.9635,0
0.628319,2.04204,0
0.628319,2.12058,0
0.628319,2.19911,0
0.628319,2.27765,0
0.628319,2.35619,0
0.628319,2.43473,0
0.628319,2.51327,0
0.628319,2.59181,0
0.628319,2.67035,0
0.628319,2.74889,0
0.628319,2.82743,0
0.628319,2.90597,0
0.628319,2.98451,0
0.628319,3.06305,0
0.628319,3.14159,0
0.785398,0,0
0.785398,0.0785398,6.70206e-05
0.785398,0.15708,0.000121791
0.785398,0.235619,0.000147005
0.785398,0.314159,0.000150542
0.785398,0.392699,0.000134823
0.785398,0.471239,0.000102605
0.785398,0.549779,5.67423e-05
0.785398,0.628319,3.13848e-05
0.785398,0.706858,0
0.785398,0.785398,0
0.785398,0.863938,0
0.785398,0.942478,0
0.785398,1.02102,0
0.785398,1.09956,0
0.785398,1.1781,0
0.785398,1.25664,0
0.785398,1.33518,0
0.785398,1.41372,0
0.785398,1.49226,0
0.785398,1.5708,0
0.785398,1.64934,0
0.785398,1.72788,0
0.785398,1.80642,0
0.785398,1.88496,0
0.785398,1.9635,0
0.785398,2.04204,0
0.785398,2.12058,0
0.785398,2.19911,0
0.785398,2.27765,0
0.785398,2.35619,0
0.785398,2.43473,0
0.785398,2.51327,0
0.785398,2.59181,0
0.785398,2.67035,0
0.785398,2.74889,0
0.785398,2.82743,0
