Theta,Phi,Value
0,0,0.0184435
0,0.0785398,0.0173819
0,0.15708,0.0142361
0,0.235619,0.012194
0,0.314159,0.00925202
0,0.392699,0.00649001
0,0.471239,0.00561402
0,0.549779,0
0,0.628319,0
0,0.706858,0
0,0.785398,0
0,0.863938,0
0,0.942478,0
0,1.02102,0
0,1.09956,0
0,1.1781,0.00569442
0,1.25664,0.00703273
0,1.33518,0.010529
0,1.41372,0.0134549
0,1.49226,0.0164605
0,1.5708,0.0195076
0,1.64934,0.0164605
0,1.72788,0.0134549
0,1.80642,0.010529
0,1.88496,0.00703273
0,1.9635,0.00503937
0,2.04204,0
0,2.12058,0
0,2.19911,0
0,2.27765,0
0,2.35619,0
0,2.43473,0
0,2.51327,0
0,2.59181,0
0,2.67035,0
0,2.74889,0
0,2.82743,0
0,2.90597,0
0,2.98451,0
0,3.06305,0
0,3.14159,0
0.15708,0,0.0174237
0.15708,0.0785398,0.0143106
0.15708,0.15708,0.0124011
0.15708,0.235619,0.0114585
0.15708,0.314159,0.00857094
0.15708,0.392699,0.00601223
0.15708,0.471239,0.00519898
0.15708,0.549779,0
0.15708,0.628319,0
0.15708,0.706858,0
0.15708,0.785398,0
0.15708,0.863938,0
0.15708,0.942478,0
0.15708,1.02102,0
0.15708,1.09956,0
0.15708,1.1781,0.0044379
0.15708,1.25664,0.00558702
0.15708,1.33518,0.008449
0.15708,1.41372,0.0105878
0.15708,1.49226,0.0122696
0.15708,1.5708,0.0129618
0.15708,1.64934,0.0123067
0.15708,1.72788,0.0106517
0.15708,1.80642,0.00852522
0.15708,1.88496,0.00565383
0.15708,1.9635,0.00392946
0.15708,2.04204,0
0.15708,2.12058,0
0.15708,2.19911,0
0.15708,2.27765,0
0.15708,2.35619,0
0.15708,2.43473,0
0.15708,2.51327,0
0.15708,2.59181,0
0.15708,2.67035,0
0.15708,2.74889,0
0.15708,2.82743,0
0.15708,2.90597,0
0.15708,2.98451,0
0.15708,3.06305,0
0.15708,3.14159,0
0.314159,0,0.0140704
0.314159,0.0785398,0.0132693
0.314159,0.15708,0.0105819
0.314159,0.235619,0.00979572
0.314159,0.314159,0.00801945
0.314159,0.392699,0.00560583
0.314159,0.471239,0.00402237
0.314159,0.549779,0
0.314159,0.628319,0
0.314159,0.706858,0
0.314159,0.785398,0
0.314159,0.863938,0
0.314159,0.942478,0
0.314159,1.02102,0
0.314159,1.09956,0
0.314159,1.1781,0.00136428
0.314159,1.25664,0.0021089
0.314159,1.33518,0.0035121
0.314159,1.41372,0.00471655
0.314159,1.49226,0.0057393
0.314159,1.5708,0.00602693
0.314159,1.64934,0.00577646
0.314159,1.72788,0.00477763
0.314159,1.80642,0.00358019
0.314159,1.88496,0.0021632
0.314159,1.9635,0.00102047
0.314159,2.04204,0
0.314159,2.12058,0
0.314159,2.19911,0
0.314159,2.27765,0
0.314159,2.35619,0
0.314159,2.43473,0
0.314159,2.51327,0
0.314159,2.59181,0
0.314159,2.67035,0
0.314159,2.74889,0
0.314159,2.82743,0
0.314159,2.90597,0
0.314159,2.98451,0
0.314159,3.06305,0
0.314159,3.14159,0
0.471239,0,0.0109961
0.471239,0.0785398,0.0109988
