Theta,Phi,Value
0,0,0
0,0.0785398,0
0,0.15708,0
0,0.235619,0.779929
0,0.314159,1.69226
0,0.392699,1.7768
0,0.471239,1.7505
0,0.549779,1.77686
0,0.628319,1.72109
0,0.706858,1.6314
0,0.785398,1.56194
0,0.863938,1.44312
0,0.942478,0.965432
0,1.02102,0.901496
0,1.09956,0.855639
0,1.1781,0
0,1.25664,0
0,1.33518,0
0,1.41372,0
0,1.49226,0
0,1.5708,0
0,1.64934,0
0,1.72788,0
0,1.80642,0
0,1.88496,0
0,1.9635,0
0,2.04204,0
0,2.12058,0
0,2.19911,0
0,2.27765,0
0,2.35619,0
0,2.43473,0
0,2.51327,0
0,2.59181,0
0,2.67035,0
0,2.74889,0
0,2.82743,0
0,2.90597,0
0,2.98451,0
0,3.06305,0
0,3.14159,0
0.15708,0,0
0.15708,0.0785398,0
0.15708,0.15708,1.59529
0.15708,0.235619,1.65378
0.15708,0.314159,1.69978
0.15708,0.392699,1.70142
0.15708,0.471239,1.86006
0.15708,0.549779,1.78854
0.15708,0.628319,1.73975
0.15708,0.706858,1.68797
0.15708,0.785398,1.62969
0.15708,0.863938,1.52249
0.15708,0.942478,1.46643
0.15708,1.02102,1.07588
0.15708,1.09956,1.03364
0.15708,1.1781,0
0.15708,1.25664,0
0.15708,1.33518,0
0.15708,1.41372,0
0.15708,1.49226,0
0.15708,1.5708,0
0.15708,1.64934,0
0.15708,1.72788,0
0.15708,1.80642,0
0.15708,1.88496,0
0.15708,1.9635,0
0.15708,2.04204,0
0.15708,2.12058,0
0.15708,2.19911,0
0.15708,2.27765,0
0.15708,2.35619,0
0.15708,2.43473,0
0.15708,2.51327,0
0.15708,2.59181,0
0.15708,2.67035,0
0.15708,2.74889,0
0.15708,2.82743,0
0.15708,2.90597,0
0.15708,2.98451,0
0.15708,3.06305,0
0.15708,3.14159,0
0.314159,0,0
0.314159,0.0785398,1.46803
0.314159,0.15708,1.46803
0.314159,0.235619,1.53613
0.314159,0.314159,1.64147
0.314159,0.392699,1.68047
0.314159,0.471239,1.74374
0.314159,0.549779,1.7252
0.314159,0.628319,1.74754
0.314159,0.706858,1.65582
0.314159,0.785398,1.60842
0.314159,0.863938,1.5984
0.314159,0.942478,1.51319
0.314159,1.02102,1.23234
0.314159,1.09956,1.15384
0.314159,1.1781,1.18797
0.314159,1.25664,0
0.314159,1.33518,0
0.314159,1.41372,0
0.314159,1.49226,0
0.314159,1.5708,0
0.314159,1.64934,0
0.314159,1.72788,0
0.314159,1.80642,0
0.314159,1.88496,0
0.314159,1.9635,0
0.314159,2.04204,0
0.314159,2.12058,0
0.314159,2.19911,0
0.314159,2.27765,0
0.314159,2.35619,0
0.314159,2.43473,0
0.314159,2.51327,0
0.314159,2.59181,0
0.314159,2.67035,0
0.314159,2.74889,0
0.314159,2.82743,0
0.314159,2.90597,0
0.314159,2.98451,0
0.314159,3.06305,0
0.314159,3.14159,0
0.471239,0,0
0.471239,0.0785398,1.37851
0.471239,0.15708,1.43154
0.471239,0.235619,1.50385
0.471239,0.314159,1.53843
0.471239,0.392699,1.58141
0.471239,0.471239,1.62221
0.471239,0.549779,1.68211
0.471239,0.628319,1.61831
0.471239,0.706858,1.64054
0.471239,0.785398,1.62903
0.471239,0.863938,1.56971
0.471239,0.942478,1.53856
0.471239,1.02102,1.33547
0.471239,1.09956,1.24157
0.471239,1.1781,1.22989
0.471239,1.25664,0
0.471239,1.33518,0
0.471239,1.41372,0
0.471239,1.49226,0
0.471239,1.5708,0
0.471239,1.64934,0
0.471239,1.72788,0
0.471239,1.80642,0
0.471239,1.88496,0
0.471239,1.9635,0
0.471239,2.04204,0
0.471239,2.12058,0
0.471239,2.19911,0
0.471239,2.27765,0
0.471239,2.35619,0
0.471239,2.43473,0
0.471239,2.51327,0
0.471239,2.59181,0
0.471239,2.67035,0
0.471239,2.74889,0
0.471239,2.82743,0
0.471239,2.90597,0
0.471239,2.98451,0
0.471239,3.06305,0
0.471239,3.14159,0
0.628319,0,0.374136
0.628319,0.0785398,1.18138
0.628319,0.15708,1.30734
0.628319,0.235619,1.43656
0.628319,0.314159,1.26867
0.628319,0.392699,1.39294
0.628319,0.471239,1.47605
0.628319,0.549779,1.44459
0.628319,0.628319,1.4813
0.628319,0.706858,1.53621
0.628319,0.785398,1.58631
0.628319,0.863938,1.58631
0.628319,0.942478,1.43881
0.628319,1.02102,1.34824
0.628319,1.09956,1.23332
0.628319,1.1781,1.14441
0.628319,1.25664,1.12379
0.628319,1.33518,0
0.628319,1.41372,0
0.628319,1.49226,0
0.628319,1.5708,0
0.628319,1.64934,0
0.628319,1.72788,0
0.628319,1.80642,0
0.628319,1.88496,0
0.628319,1.9635,0
0.628319,2.04204,0
0.628319,2.12058,0
0.628319,2.19911,0
0.628319,2.27765,0
0.628319,2.35619,0
0.628319,2.43473,0
0.628319,2.51327,0
0.628319,2.59181,0
0.628319,2.67035,0
0.628319,2.74889,0
0.628319,2.82743,0
0.628319,2.90597,0
0.628319,2.98451,0
0.628319,3.06305,0
0.628319,3.14159,0
0.785398,0,0.327007
0.785398,0.0785398,0.96771
0.785398,0.15708,1.08318
0.785398,0.235619,1.1325
0.785398,0.314159,1.17749
0.785398,0.392699,1.20926
0.785398,0.471239,1.19536
0.785398,0.549779,1.2312
0.785398,0.628319,1.25467
0.785398,0.706858,1.33045
0.785398,0.785398,1.24671
0.785398,0.863938,1.30555
0.785398,0.942478,1.26197
0.785398,1.02102,1.16317
0.785398,1.09956,1.07944
0.785398,1.1781,0.973933
0.785398,1.25664,0.973933
0.785398,1.33518,0
0.785398,1.41372,0
0.785398,1.49226,0
0.785398,1.5708,0
0.785398,1.64934,0
0.785398,1.72788,0
0.785398,1.80642,0
0.785398,1.88496,0
0.785398,1.9635,0
0.785398,2.04204,0
0.785398,2.12058,0
0.785398,2.19911,0
0.785398,2.27765,0
0.785398,2.35619,0
0.785398,2.43473,0
0.785398,2.51327,0
0.785398,2.59181,0
0.785398,2.67035,0
0.785398,2.74889,0
0.785398,2.82743,0
0.785398,2.90597,0
0.785398,2.98451,0
0.785398,3.06305,0
0.785398,3.14159,0
0.942478,0,0.583846
