Theta,Phi,Value
0,0,0
0,0.0785398,0
0,0.15708,0
0,0.235619,0.397763
0,0.314159,0.863052
0,0.392699,0.906169
0,0.471239,0.892752
0,0.549779,0.906197
0,0.628319,0.877753
0,0.706858,0.832012
0,0.785398,0.796587
0,0.863938,0.735989
0,0.942478,0.49237
0,1.02102,0.459762
0,1.09956,0.436375
0,1.1781,0
0,1.25664,0
0,1.33518,0
0,1.41372,0
0,1.49226,0
0,1.5708,0
0,1.64934,0
0,1.72788,0
0,1.80642,0
0,1.88496,0
0,1.9635,0
0,2.04204,0
0,2.12058,0
0,2.19911,0
0,2.27765,0
0,2.35619,0
0,2.43473,0
0,2.51327,0
0,2.59181,0
0,2.67035,0
0,2.74889,0
0,2.82743,0
0,2.90597,0
0,2.98451,0
0,3.06305,0
0,3.14159,0
0.15708,0,0
0.15708,0.0785398,0
0.15708,0.15708,0.823741
0.15708,0.235619,0.853941
0.15708,0.314159,0.877691
0.15708,0.392699,0.878538
0.15708,0.471239,0.960453
0.15708,0.549779,0.923522
0.15708,0.628319,0.89833
0.15708,0.706858,0.871596
0.15708,0.785398,0.841499
0.15708,0.863938,0.786148
0.15708,0.942478,0.757199
0.15708,1.02102,0.55554
0.15708,1.09956,0.533729
0.15708,1.1781,0
0.15708,1.25664,0
0.15708,1.33518,0
0.15708,1.41372,0
0.15708,1.49226,0
0.15708,1.5708,0
0.15708,1.64934,0
0.15708,1.72788,0
0.15708,1.80642,0
0.15708,1.88496,0
0.15708,1.9635,0
0.15708,2.04204,0
0.15708,2.12058,0
0.15708,2.19911,0
0.15708,2.27765,0
0.15708,2.35619,0
0.15708,2.43473,0
0.15708,2.51327,0
0.15708,2.59181,0
0.15708,2.67035,0
0.15708,2.74889,0
0.15708,2.82743,0
0.15708,2.90597,0
0.15708,2.98451,0
0.15708,3.06305,0
0.15708,3.14159,0
0.314159,0,0
0.314159,0.0785398,0.787226
0.314159,0.15708,0.787226
0.314159,0.235619,0.823741
0.314159,0.314159,0.88023
0.314159,0.392699,0.901145
0.314159,0.471239,0.935069
0.314159,0.549779,0.925131
0.314159,0.628319,0.937108
0.314159,0.706858,0.887926
0.314159,0.785398,0.862509
0.314159,0.863938,0.857132
0.314159,0.942478,0.81144
0.314159,1.02102,0.660838
0.314159,1.09956,0.618739
0.314159,1.1781,0.637041
0.314159,1.25664,0
0.314159,1.33518,0
0.314159,1.41372,0
0.314159,1.49226,0
0.314159,1.5708,0
0.314159,1.64934,0
0.314159,1.72788,0
0.314159,1.80642,0
0.314159,1.88496,0
0.314159,1.9635,0
0.314159,2.04204,0
0.314159,2.12058,0
0.314159,2.19911,0
0.314159,2.27765,0
0.314159,2.35619,0
0.314159,2.43473,0
0.314159,2.51327,0
0.314159,2.59181,0
0.314159,2.67035,0
0.314159,2.74889,0
0.314159,2.82743,0
0.314159,2.90597,0
0.314159,2.98451,0
0.314159,3.06305,0
0.314159,3.14159,0
0.471239,0,0
0.471239,0.0785398,0.789039
0.471239,0.15708,0.819393
0.471239,0.235619,0.860782
0.471239,0.314159,0.880574
0.471239,0.392699,0.905175
0.471239,0.471239,0.928528
0.471239,0.549779,0.962814
0.471239,0.628319,0.926295
0.471239,0.706858,0.939022
0.471239,0.785398,0.932433
0.471239,0.863938,0.898479
0.471239,0.942478,0.880649
0.471239,1.02102,0.764402
0.471239,1.09956,0.710655
0.471239,1.1781,0.703971
0.471239,1.25664,0
0.471239,1.33518,0
0.471239,1.41372,0
0.471239,1.49226,0
0.471239,1.5708,0
0.471239,1.64934,0
0.471239,1.72788,0
0.471239,1.80642,0
0.471239,1.88496,0
0.471239,1.9635,0
0.471239,2.04204,0
0.471239,2.12058,0
0.471239,2.19911,0
0.471239,2.27765,0
0.471239,2.35619,0
0.471239,2.43473,0
0.471239,2.51327,0
0.471239,2.59181,0
0.471239,2.67035,0
0.471239,2.74889,0
0.471239,2.82743,0
0.471239,2.90597,0
0.471239,2.98451,0
0.471239,3.06305,0
0.471239,3.14159,0
0.628319,0,0.235853
0.628319,0.0785398,0.744732
0.628319,0.15708,0.824139
0.628319,0.235619,0.905596
0.628319,0.314159,0.799761
0.628319,0.392699,0.878102
0.628319,0.471239,0.930491
0.628319,0.549779,0.91066
0.628319,0.628319,0.933802
0.628319,0.706858,0.968417
0.628319,0.785398,1
0.628319,0.863938,1
0.628319,0.942478,0.907015
0.628319,1.02102,0.84992
0.628319,1.09956,0.777476
0.628319,1.1781,0.721432
0.628319,1.25664,0.708432
0.628319,1.33518,0
0.628319,1.41372,0
0.628319,1.49226,0
0.628319,1.5708,0
0.628319,1.64934,0
0.628319,1.72788,0
0.628319,1.80642,0
0.628319,1.88496,0
0.628319,1.9635,0
0.628319,2.04204,0
0.628319,2.12058,0
0.628319,2.19911,0
0.628319,2.27765,0
0.628319,2.35619,0
0.628319,2.43473,0
0.628319,2.51327,0
0.628319,2.59181,0
0.628319,2.67035,0
0.628319,2.74889,0
0.628319,2.82743,0
0.628319,2.90597,0
0.628319,2.98451,0
0.628319,3.06305,0
0.628319,3.14159,0
0.785398,0,0.235853
0.785398,0.0785398,0.697958
0.785398,0.15708,0.781242
0.785398,0.235619,0.816813
0.785398,0.314159,0.849259
0.785398,0.392699,0.872176
0.785398,0.471239,0.862148
0.785398,0.549779,0.888001
0.785398,0.628319,0.904927
0.785398,0.706858,0.959585
0.785398,0.785398,0.899184
0.785398,0.863938,0.941627
0.785398,0.942478,0.910193
0.785398,1.02102,0.838934
0.785398,1.09956,0.778546
0.785398,1.1781,0.702447
0.785398,1.25664,0.702447
0.785398,1.33518,0
0.785398,1.41372,0
0.785398,1.49226,0
0.785398,1.5708,0
0.785398,1.64934,0
0.785398,1.72788,0
0.785398,1.80642,0
0.785398,1.88496,0
0.785398,1.9635,0
0.785398,2.04204,0
0.785398,2.12058,0
0.785398,2.19911,0
0.785398,2.27765,0
0.785398,2.35619,0
0.785398,2.43473,0
0.785398,2.51327,0
0.785398,2.59181,0
0.785398,2.67035,0
0.785398,2.74889,0
0.785398,2.82743,0
0.785398,2.90597,0
0.785398,2.98451,0
0.785398,3.06305,0
0.785398,3.14159,0
0.942478,0,0.506582
0.942478,0.0785398,0.506582
